credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business,debt_income_ratio,many_inquiries,has_delinquency,has_public_record,fico_category_fair,fico_category_good,fico_category_very good,fico_category_excellent
1.0,0.1596,94.88,10.86283777,12.57,627.0,1409.0,3075.0,92.3,1.0,0.0,0.0,0.0,False,True,False,False,False,False,8.734365918823805,0,0,0,True,False,False,False
1.0,0.1059,398.69,11.00209984,17.12,747.0,14008.95833,17214.0,8.1,2.0,1.0,0.0,0.0,False,False,False,False,False,True,36.23762788904123,0,1,0,False,True,False,False
1.0,0.1154,39.6,9.903487553,2.04,662.0,1139.0,1153.0,75.8,2.0,0.0,0.0,0.0,True,False,False,False,False,False,3.998591383901344,0,0,0,True,False,False,False
1.0,0.1343,678.08,11.88448902,10.15,682.0,4209.958333,41674.0,74.1,0.0,0.0,0.0,1.0,True,False,False,False,False,False,57.05588173449295,0,0,0,False,True,False,False
1.0,0.1249,401.37,11.22524339,15.0,682.0,4479.0,43039.0,93.4,3.0,0.0,0.0,0.0,True,False,False,False,False,False,35.756017580657556,0,0,0,False,True,False,False
1.0,0.0964,205.45,11.00209984,7.72,712.0,2293.958333,3362.0,69.3,0.0,0.0,0.0,0.0,False,False,False,False,False,False,18.673708018268627,0,0,0,False,True,False,False
1.0,0.1186,397.75,11.08214255,7.14,682.0,8730.0,11868.0,71.9,0.0,2.0,0.0,0.0,False,True,False,False,False,False,35.891074149736504,0,1,0,False,True,False,False
1.0,0.0743,155.38,10.59663473,2.55,772.0,8189.958333,2562.0,14.0,2.0,0.0,0.0,0.0,False,False,False,False,False,False,14.66314579666558,0,0,0,False,False,True,False
1.0,0.1028,113.39,9.903487553,1.5,682.0,1410.0,1882.0,32.4,0.0,0.0,0.0,0.0,False,False,False,False,False,False,11.449501944963973,0,0,0,False,True,False,False
1.0,0.1186,99.44,10.49551521,7.47,667.0,2550.0,1064.0,70.9,2.0,0.0,1.0,0.0,False,True,False,False,False,False,9.47452297579968,0,0,1,True,False,False,False
1.0,0.0807,109.79,11.49272276,8.52,752.0,4979.958333,6432.0,6.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False,9.553001694439205,0,1,0,False,True,False,False
1.0,0.1059,32.55,10.43382164,14.47,687.0,1110.0,4485.0,36.9,1.0,0.0,0.0,1.0,False,False,False,False,False,False,3.1196622985401157,0,0,0,False,True,False,False
1.0,0.0996,112.87,11.26446411,11.06,702.0,4979.958333,16310.0,20.5,0.0,1.0,0.0,0.0,False,False,False,False,False,False,10.020006180302882,0,1,0,False,True,False,False
1.0,0.0964,160.51,11.77528973,8.55,712.0,5940.0,20969.0,40.2,0.0,0.0,0.0,0.0,False,True,False,False,False,False,13.631087105319146,0,0,0,False,True,False,False
1.0,0.1375,340.57,10.46310334,17.38,707.0,2699.958333,22213.0,65.9,0.0,0.0,0.0,0.0,False,True,False,False,False,False,32.54961639325642,0,0,0,False,True,False,False
1.0,0.0775,156.11,12.32385568,6.48,752.0,5339.958333,2160.0,2.3,1.0,0.0,0.0,0.0,False,False,False,True,False,False,12.667301861814728,0,0,0,False,True,False,False
1.0,0.0743,155.38,11.15625052,4.56,812.0,9809.0,813.0,1.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,13.92761839844378,0,0,0,False,False,False,True
1.0,0.0807,235.25,11.91839057,2.72,757.0,5202.0,23678.0,24.4,4.0,0.0,0.0,0.0,False,False,False,True,False,False,19.738403320340257,0,0,0,False,False,True,False
1.0,0.0996,257.99,10.77895629,15.13,722.0,2640.0,11289.0,47.8,3.0,0.0,0.0,0.0,False,True,False,False,False,False,23.934599330303065,0,0,0,False,True,False,False
1.0,0.1501,225.37,12.26904744,6.45,677.0,6240.0,56411.0,75.3,0.0,0.0,0.0,1.0,False,False,False,False,False,True,18.368989206549195,0,0,0,False,True,False,False
1.0,0.0964,80.26,11.22524339,20.0,772.0,4920.958333,269.0,3.8,3.0,0.0,0.0,1.0,False,False,False,True,False,False,7.14995632713849,0,0,0,False,False,True,False
1.0,0.128,84.0,10.37349118,20.0,682.0,5492.0,3408.0,35.1,1.0,0.0,0.0,1.0,False,False,False,True,False,False,8.097563158095825,0,0,0,False,True,False,False
1.0,0.1122,507.46,10.59663473,13.5,712.0,5368.958333,6513.0,34.3,3.0,0.0,1.0,1.0,False,True,False,False,False,False,47.88878855693085,0,0,1,False,True,False,False
1.0,0.0743,124.31,10.59663473,3.45,772.0,1739.958333,330.0,11.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,11.731082854830083,0,0,0,False,False,True,False
1.0,0.087,63.32,11.15625052,6.07,712.0,2550.0,5967.0,19.8,1.0,0.0,0.0,0.0,True,False,False,False,False,False,5.675742032368775,0,0,0,False,True,False,False
1.0,0.1091,130.79,9.798127037,18.0,707.0,2192.0,5533.0,79.6,1.0,0.0,0.0,0.0,False,False,False,False,False,False,13.34846950913237,0,0,0,False,True,False,False
1.0,0.0775,93.67,11.73606902,2.14,762.0,8370.0,21050.0,1.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,7.981377737330314,0,0,0,False,False,True,False
1.0,0.0775,93.67,10.81977828,5.35,762.0,8370.0,21050.0,0.7,0.0,0.0,0.0,0.0,False,False,False,False,False,False,8.657293853529872,0,0,0,False,False,True,False
1.0,0.087,88.65,11.69524702,15.0,742.0,3026.0,8155.0,14.9,1.0,0.0,0.0,0.0,False,False,False,False,False,False,7.580002358941197,0,0,0,False,True,False,False
1.0,0.0964,128.41,11.51292546,15.0,722.0,3026.0,8155.0,14.9,1.0,0.0,0.0,0.0,False,False,False,False,False,False,11.153550889054397,0,0,0,False,True,False,False
1.0,0.087,94.98,11.03488966,12.23,737.0,2729.958333,3678.0,30.7,0.0,0.0,0.0,0.0,False,False,False,True,False,False,8.607245104071119,0,0,0,False,True,False,False
1.0,0.1217,179.8,10.46310334,7.1,662.0,2944.0,2040.0,36.2,2.0,0.0,0.0,0.0,False,True,False,False,False,False,17.184194225878688,0,0,0,True,False,False,False
1.0,0.1533,444.05,11.00209984,19.52,667.0,2700.958333,33074.0,68.8,2.0,0.0,0.0,0.0,True,False,False,False,False,False,40.36047722322797,0,0,0,True,False,False,False
1.0,0.0775,124.89,11.03165864,3.46,747.0,2519.0,1918.0,17.1,0.0,0.0,0.0,0.0,False,False,False,False,False,False,11.321053712372667,0,0,0,False,True,False,False
1.0,0.1533,644.3,11.40756495,5.24,662.0,1770.0,22379.0,62.2,0.0,0.0,0.0,0.0,True,False,False,False,False,False,56.48006413498439,0,0,0,True,False,False,False
1.0,0.0964,642.02,11.47210347,2.86,737.0,2190.0,10296.0,42.5,0.0,0.0,0.0,1.0,False,False,False,False,False,True,55.96358171619594,0,0,0,False,True,False,False
1.0,0.1154,104.76,9.61580548,12.24,672.0,1289.958333,2867.0,55.1,3.0,0.0,0.0,1.0,False,False,False,False,False,True,10.894563145842671,0,0,0,False,True,False,False
1.0,0.1122,157.66,10.30895266,12.36,682.0,1770.0,12310.0,86.1,0.0,0.0,0.0,0.0,False,True,False,False,False,False,15.29350315204571,0,0,0,False,True,False,False
1.0,0.087,383.87,11.91839057,4.8,767.0,13349.95833,61921.0,39.1,0.0,0.0,0.0,0.0,False,True,False,False,False,False,32.208207789921424,0,0,0,False,False,True,False
1.0,0.1122,217.6,11.38509209,18.0,702.0,3725.0,16738.0,26.1,2.0,0.0,0.0,0.0,True,False,False,False,False,False,19.112713211263976,0,0,0,False,True,False,False
1.0,0.0807,297.99,11.05089001,3.49,792.0,5939.0,40384.0,9.2,1.0,0.0,0.0,0.0,False,False,False,False,False,False,26.965248928398303,0,0,0,False,False,True,False
1.0,0.0775,156.11,10.71441777,5.0,762.0,2131.0,1359.0,5.6,2.0,0.0,0.0,0.0,False,True,False,False,False,False,14.570087087429297,0,0,0,False,False,True,False
1.0,0.1154,329.95,12.32385568,20.0,727.0,10292.0,107501.0,44.8,2.0,0.0,0.0,0.0,False,True,False,False,False,False,26.77327685161597,0,0,0,False,True,False,False
1.0,0.0807,313.67,12.06104687,0.72,787.0,8010.0,3054.0,5.6,3.0,0.0,0.0,0.0,False,False,False,False,False,False,26.006863531905005,0,0,0,False,False,True,False
1.0,0.0807,297.99,11.40756495,2.44,792.0,8717.958333,40384.0,9.6,0.0,0.0,0.0,0.0,False,False,False,False,False,False,26.12213923883905,0,0,0,False,False,True,False
1.0,0.0933,239.65,11.44035477,9.66,792.0,4529.0,128000.0,0.0,3.0,0.0,0.0,0.0,False,False,False,True,False,False,20.94777695429807,0,0,0,False,False,True,False
1.0,0.0712,61.87,11.6784399,0.43,772.0,5936.0,4709.0,18.5,0.0,0.0,0.0,0.0,False,True,False,False,False,False,5.297796668885542,0,0,0,False,False,True,False
1.0,0.1186,94.47,10.71441777,2.8,667.0,5460.0,2850.0,75.0,0.0,1.0,0.0,0.0,False,False,False,False,False,False,8.817091327585969,0,1,0,True,False,False,False
1.0,0.1501,73.68,11.47210347,16.89,702.0,4080.0,51.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False,True,6.422536215147997,0,0,0,False,True,False,False
1.0,0.0807,313.67,11.91839057,5.84,792.0,5364.958333,37152.0,3.7,0.0,0.0,0.0,0.0,False,False,False,True,False,False,26.31815077360735,0,0,0,False,False,True,False
1.0,0.0933,543.2,11.22524339,9.55,762.0,5699.958333,3839.0,16.6,1.0,0.0,0.0,0.0,False,True,False,False,False,False,48.39093292925028,0,0,0,False,False,True,False
1.0,0.0807,313.67,11.35040654,3.11,797.0,5363.958333,37152.0,3.7,0.0,0.0,0.0,0.0,False,False,False,True,False,False,27.635133498927523,0,0,0,False,False,True,False
1.0,0.1217,266.37,11.15625052,10.2,672.0,3598.958333,26283.0,39.5,0.0,1.0,0.0,1.0,True,False,False,False,False,False,23.87630140811861,0,1,0,False,True,False,False
1.0,0.1028,210.6,10.71441777,5.87,692.0,1741.958333,5607.0,42.2,0.0,0.0,0.0,0.0,False,True,False,False,False,False,19.655757738854714,0,0,0,False,True,False,False
1.0,0.1249,234.15,10.04324949,5.01,662.0,1110.0,1061.0,81.9,3.0,0.0,0.0,0.0,False,False,False,False,False,False,23.31416741495287,0,0,0,True,False,False,False
1.0,0.1028,323.99,11.69524702,14.4,722.0,4679.958333,56740.0,77.5,1.0,0.0,0.0,0.0,False,True,False,False,False,False,27.702706872795922,0,0,0,False,True,False,False
1.0,0.1059,235.96,10.95080655,7.22,712.0,5519.0,40598.0,77.3,1.0,0.0,0.0,0.0,True,False,False,False,False,False,21.54727132861278,0,0,0,False,True,False,False
1.0,0.1438,352.22,11.1844214,17.83,687.0,1289.958333,3815.0,6.5,1.0,0.0,0.0,0.0,False,True,False,False,False,False,31.49201799567388,0,0,0,False,True,False,False
1.0,0.0743,117.31,11.69524702,0.0,772.0,3929.958333,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False,False,10.03057052145958,0,0,0,False,False,True,False
1.0,0.0712,64.96,11.60823564,0.22,812.0,16213.0,50.0,0.3,0.0,0.0,0.0,0.0,False,True,False,False,False,False,5.596026994503705,0,0,0,False,False,False,True
1.0,0.1565,699.69,11.42954386,1.53,667.0,3603.958333,4569.0,56.4,1.0,0.0,0.0,0.0,False,False,False,False,False,True,61.217666126529046,0,0,0,True,False,False,False
1.0,0.1059,195.27,9.852194258,8.15,692.0,3089.958333,8528.0,86.1,0.0,0.0,0.0,0.0,False,False,True,False,False,False,19.81995024524008,0,0,0,False,True,False,False
1.0,0.1122,295.59,10.3859137,22.15,747.0,2788.958333,14345.0,45.8,0.0,0.0,0.0,0.0,True,False,False,False,False,False,28.46066398568284,0,0,0,False,True,False,False
1.0,0.1122,217.59,10.81977828,18.38,707.0,3359.0,113.0,2.4,1.0,0.0,0.0,0.0,False,False,False,False,False,True,20.11039361150384,0,0,0,False,True,False,False
1.0,0.1375,263.09,11.03811028,9.8,677.0,3089.958333,12231.0,81.0,3.0,0.0,0.0,1.0,False,True,False,False,False,False,23.834695733806345,0,0,0,False,True,False,False
1.0,0.1467,248.43,10.95080655,20.76,667.0,3750.0,13552.0,69.1,0.0,1.0,0.0,0.0,False,True,False,False,False,False,22.686000238037263,0,1,0,True,False,False,False
1.0,0.1028,194.4,11.37710574,10.6,692.0,2489.958333,16813.0,63.9,0.0,0.0,0.0,0.0,True,False,False,False,False,False,17.086946754526693,0,0,0,False,True,False,False
1.0,0.1249,301.04,10.57131693,5.08,667.0,3690.0,26233.0,62.9,3.0,0.0,1.0,1.0,False,True,False,False,False,False,28.477057493725148,0,0,1,True,False,False,False
1.0,0.0743,163.92,11.35040654,2.64,782.0,9210.0,5760.0,16.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,14.441773466203967,0,0,0,False,False,True,False
1.0,0.1028,150.66,10.727663,3.26,687.0,6509.958333,105.0,35.0,1.0,1.0,0.0,1.0,False,False,False,False,False,False,14.044065329046969,0,1,0,False,True,False,False
1.0,0.1122,217.59,10.9525594,13.77,682.0,2160.0,11490.0,95.7,0.0,0.0,0.0,0.0,False,True,False,False,False,False,19.866589356274115,0,0,0,False,True,False,False
1.0,0.1312,85.23,10.59663473,20.67,692.0,5250.0,17641.0,30.5,3.0,1.0,0.0,0.0,False,False,False,True,False,False,8.043119553673622,0,1,0,False,True,False,False
1.0,0.1122,328.43,10.30895266,20.4,742.0,3270.0,0.0,0.0,3.0,0.0,0.0,0.0,False,False,False,False,False,False,31.858716479933864,0,0,0,False,True,False,False
1.0,0.0807,165.47,10.91508846,12.0,797.0,8790.0,12430.0,19.2,1.0,0.0,0.0,0.0,False,False,False,False,False,False,15.159748874815808,0,0,0,False,False,True,False
1.0,0.1091,140.6,10.49127422,9.87,707.0,1560.0,12323.0,44.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,13.401613288495284,0,0,0,False,True,False,False
1.0,0.1028,98.01,11.40756495,9.13,697.0,3300.0,38624.0,97.8,0.0,0.0,0.0,0.0,False,False,False,False,False,False,8.591667058621482,0,0,0,False,True,False,False
1.0,0.1217,166.48,9.210340372,0.0,662.0,2250.0,875.0,54.7,2.0,1.0,0.0,1.0,False,False,False,False,False,True,18.0753363367666,0,1,0,True,False,False,False
1.0,0.1249,284.32,11.35040654,6.38,667.0,7229.958333,1196.0,12.0,3.0,4.0,0.0,0.0,False,False,False,False,False,True,25.049323035084875,0,1,0,True,False,False,False
1.0,0.1438,194.15,13.08154138,2.4,697.0,2759.958333,26628.0,60.4,3.0,1.0,0.0,0.0,False,False,False,False,False,True,14.841523208941606,0,1,0,False,True,False,False
1.0,0.1028,138.51,10.34174248,24.81,767.0,5789.958333,6752.0,24.6,2.0,0.0,0.0,0.0,False,False,False,False,False,False,13.393294241068743,0,0,0,False,False,True,False
1.0,0.1249,70.25,9.433483923,14.4,662.0,1469.0,458.0,91.6,1.0,0.0,0.0,1.0,False,True,False,False,False,False,7.4468775876876,0,0,0,True,False,False,False
1.0,0.0838,252.1,11.56171563,9.71,752.0,3508.958333,16786.0,44.7,0.0,0.0,0.0,0.0,True,False,False,False,False,False,21.804722419037734,0,0,0,False,True,False,False
1.0,0.0901,263.19,11.69524702,12.16,742.0,9719.958333,7336.0,29.9,0.0,0.0,0.0,0.0,False,False,False,False,False,False,22.504013771570598,0,0,0,False,True,False,False
1.0,0.0933,104.65,11.03488966,3.83,702.0,3690.0,7089.0,41.9,1.0,0.0,0.0,0.0,False,False,False,False,False,False,9.483556539703544,0,0,0,False,True,False,False
1.0,0.0807,172.53,10.89673933,6.29,742.0,5100.0,18388.0,68.9,0.0,0.0,0.0,0.0,False,True,False,False,False,False,15.833176767384412,0,0,0,False,True,False,False
1.0,0.0996,38.7,10.37349118,1.13,677.0,1920.0,613.0,76.6,2.0,0.0,0.0,0.0,True,False,False,False,False,False,3.7306630264084344,0,0,0,False,True,False,False
1.0,0.1249,100.35,10.2791805,12.77,662.0,1110.0,566.0,51.5,3.0,1.0,0.0,1.0,False,False,True,False,False,False,9.762451393863547,0,1,0,True,False,False,False
1.0,0.128,335.98,10.50232405,18.92,682.0,2219.0,9166.0,50.4,1.0,0.0,0.0,0.0,False,True,False,False,False,False,31.99101440790146,0,0,0,False,True,False,False
1.0,0.1091,163.49,10.57131693,11.78,707.0,4889.0,5406.0,33.4,0.0,0.0,1.0,1.0,False,False,False,False,False,False,15.46543359569866,0,0,1,False,True,False,False
1.0,0.0996,32.25,10.46310334,5.83,687.0,2158.958333,1188.0,3.0,2.0,0.0,0.0,1.0,False,False,False,False,False,False,3.0822595316161716,0,0,0,False,True,False,False
1.0,0.0996,96.75,9.798127037,15.4,707.0,11248.95833,12003.0,40.4,1.0,0.0,0.0,0.0,False,False,True,False,False,False,9.874336149618141,0,0,0,False,True,False,False
1.0,0.1059,72.42,11.00209984,8.14,707.0,4800.0,20511.0,62.0,1.0,0.0,0.0,1.0,False,False,False,False,False,False,6.5823798232319986,0,0,0,False,True,False,False
1.0,0.0964,90.68,11.15625052,18.0,732.0,3691.0,55720.0,10.0,2.0,0.0,0.0,0.0,False,False,False,False,False,True,8.128178892849029,0,0,0,False,True,False,False
1.0,0.0807,259.58,10.79957558,9.89,772.0,9870.0,7744.0,17.1,0.0,0.0,0.0,0.0,False,False,False,False,False,False,24.03612976057342,0,0,0,False,False,True,False
